"dteday","weathersit","season","mnth","temp","hum","windspeed","cnt","predict_cnt"
"2011-01-01",2,1,1,0.344167,0.805833,0.160446,985,1374
"2011-01-02",2,1,1,0.363478,0.696087,0.248539,801,1362
"2011-01-03",1,1,1,0.196364,0.437273,0.248309,1349,1464
"2011-01-04",1,1,1,0.2,0.590435,0.160296,1562,1547
"2011-01-05",1,1,1,0.226957,0.436957,0.1869,1600,1611
"2011-01-06",1,1,1,0.204348,0.518261,0.0895652,1606,1556
"2011-01-07",2,1,1,0.196522,0.498696,0.168726,1510,1602
"2011-01-08",2,1,1,0.165,0.535833,0.266804,959,1468
"2011-01-09",1,1,1,0.138333,0.434167,0.36195,822,1164
"2011-01-10",1,1,1,0.150833,0.482917,0.223267,1321,1457
"2011-01-11",2,1,1,0.169091,0.686364,0.122132,1263,1356
"2011-01-12",1,1,1,0.172727,0.599545,0.304627,1162,1368
"2011-01-13",1,1,1,0.165,0.470417,0.301,1406,1490
"2011-01-14",1,1,1,0.16087,0.537826,0.126548,1421,1528
"2011-01-15",2,1,1,0.233333,0.49875,0.157963,1248,1563
"2011-01-16",1,1,1,0.231667,0.48375,0.188433,1204,1391
"2011-01-17",2,1,1,0.175833,0.5375,0.194017,1000,1327
"2011-01-18",2,1,1,0.216667,0.861667,0.146775,683,1111
"2011-01-19",2,1,1,0.292174,0.741739,0.208317,1650,1695
"2011-01-20",2,1,1,0.261667,0.538333,0.195904,1927,1799
"2011-01-21",1,1,1,0.1775,0.457083,0.353242,1543,1536
"2011-01-22",1,1,1,0.0591304,0.4,0.17197,981,1583
"2011-01-23",1,1,1,0.0965217,0.436522,0.2466,986,1227
"2011-01-24",1,1,1,0.0973913,0.491739,0.15833,1416,1455
"2011-01-25",2,1,1,0.223478,0.616957,0.129796,1985,1663
"2011-01-26",3,1,1,0.2175,0.8625,0.29385,506,909
"2011-01-27",1,1,1,0.195,0.6875,0.113837,431,1190
"2011-01-28",2,1,1,0.203478,0.793043,0.1233,1167,1451
"2011-01-29",1,1,1,0.196522,0.651739,0.145365,1098,1464
"2011-01-30",1,1,1,0.216522,0.722174,0.0739826,1096,1304
"2011-01-31",2,1,1,0.180833,0.60375,0.187192,1501,1394
"2011-02-01",2,1,2,0.192174,0.829565,0.053213,1360,1475
"2011-02-02",2,1,2,0.26,0.775417,0.264308,1526,1646
"2011-02-03",1,1,2,0.186957,0.437826,0.277752,1550,1749
"2011-02-04",2,1,2,0.211304,0.585217,0.127839,1708,1706
"2011-02-05",2,1,2,0.233333,0.929167,0.161079,1005,1282
"2011-02-06",1,1,2,0.285833,0.568333,0.1418,1623,1842
"2011-02-07",1,1,2,0.271667,0.738333,0.0454083,1712,1907
"2011-02-08",1,1,2,0.220833,0.537917,0.36195,1530,1577
"2011-02-09",2,1,2,0.134783,0.494783,0.188839,1605,1645
"2011-02-10",1,1,2,0.144348,0.437391,0.221935,1538,1726
"2011-02-11",1,1,2,0.189091,0.506364,0.10855,1746,1748
"2011-02-12",1,1,2,0.2225,0.544167,0.203367,1472,1618
"2011-02-13",1,1,2,0.316522,0.457391,0.260883,1589,1810
"2011-02-14",1,1,2,0.415,0.375833,0.417908,1913,2178
"2011-02-15",1,1,2,0.266087,0.314348,0.291374,1815,1892
"2011-02-16",1,1,2,0.318261,0.423478,0.251791,2115,2003
"2011-02-17",1,1,2,0.435833,0.505,0.230104,2475,2638
"2011-02-18",1,1,2,0.521667,0.516667,0.264925,2927,3170
"2011-02-19",1,1,2,0.399167,0.187917,0.507463,1635,1971
"2011-02-20",1,1,2,0.285217,0.407826,0.223235,1812,1901
"2011-02-21",2,1,2,0.303333,0.605,0.307846,1107,1471
"2011-02-22",1,1,2,0.182222,0.577778,0.195683,1450,1589
"2011-02-23",1,1,2,0.221739,0.423043,0.094113,1917,1852
"2011-02-24",2,1,2,0.295652,0.697391,0.250496,1807,1809
"2011-02-25",2,1,2,0.364348,0.712174,0.346539,1461,1719
"2011-02-26",1,1,2,0.2825,0.537917,0.186571,1969,1853
"2011-02-27",1,1,2,0.343478,0.68,0.125248,2402,2142
"2011-02-28",2,1,2,0.407273,0.876364,0.289686,1446,1599
"2011-03-01",1,1,3,0.266667,0.535,0.216425,1851,2022
